Rank;Sourceid;Title;Issn;Publisher;Open Access;SJR;SJR Best Quartile;H index;Coverage;Categories;Areas;Country
1;28773;Ca-A Cancer Journal for Clinicians;15424863, 00079235;John Wiley and Sons Inc;No;104,065;Q1;236;1950-2026;"Hematology (Q1); Oncology (Q1)";Medicine;United States
2;20315;Nature Reviews Molecular Cell Biology;14710072, 14710080;Nature Research;No;35,568;Q1;553;2000-2026;"Cell Biology (Q1); Molecular Biology (Q1)";Biochemistry, Genetics and Molecular Biology;United Kingdom
3;29431;Quarterly Journal of Economics;00335533, 15314650;Oxford University Press;No;33,069;Q1;336;1886-2026;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United Kingdom
4;20425;Nature Reviews Drug Discovery;14741784, 14741776;Nature Research;No;32,577;Q1;428;2002-2026;"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics";United Kingdom
5;17700156734;Nature Reviews Clinical Oncology;17594782, 17594774;Nature Publishing Group;No;28,076;Q1;259;2009-2026;Oncology (Q1);Medicine;United Kingdom
6;19434;MMWR Recommendations and Reports;10575987, 15458601;Centers for Disease Control and Prevention (CDC);Yes;27,974;Q1;158;1990-2025;"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Health Professions; Medicine; Social Sciences";United States
7;29093;Cancer Cell;15356108, 18783686;Cell Press;No;26,632;Q1;436;2002-2026;"Cancer Research (Q1); Cell Biology (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine";United States
8;18434;Cell;00928674, 10974172;Elsevier B.V.;No;24,592;Q1;956;1974-2026;Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1);Biochemistry, Genetics and Molecular Biology;United States
9;24202;Review of Economic Studies;00346527, 1467937X;Oxford University Press;No;23,622;Q1;184;1933-2026;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United Kingdom
10;22697;American Economic Review;19447981, 00028282;American Economic Association;No;23,489;Q1;399;1973-1975, 1978-2026;Economics and Econometrics (Q1);Economics, Econometrics and Finance;United States
